txn_date,industry,segment,geo_type,geo_name,nation_name,boundary_name,Transaction Amount,Transaction Count,Account Count,Average Ticket,Average Frequency,Average Spend Amount,Year-on-Year Transaction Amount,Year-on-Year Transaction Count
3/17/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,241.73,117.47,120.14,85.92,99.59,86.09,171.99,15.24
3/18/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,221.92,102.61,104.23,84.92,100.09,85.35,6.4,-19.82
3/19/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,599.02,127.99,117.07,144.29,106.89,160.35,52.58,-34.27
3/20/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,139.91,113.5,112.68,80.29,102.44,82.99,-26.36,53.54
3/21/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,157.98,108.6,109.67,68.55,100.71,70.34,-21.88,38.85
3/22/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,55.97,128.7,134.84,23.14,97.11,22.52,-54.34,68.26
3/23/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,125.23,90.17,89.35,74.47,103.05,80.42,-25.55,33.85
3/24/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,164.16,136.88,138.44,65.11,100.54,66.05,-16.08,64.22
3/25/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,249.7,95.06,87.59,97.71,108.25,109.47,31.3,-10.16
3/26/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,616.25,148.98,138.55,130.58,106.41,142.92,158.87,21.48
3/27/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,131.55,90.3,87.72,65.22,104.55,70.26,12.94,16.61
3/28/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,270.79,99.54,99.66,154.26,102.79,166.6,48.54,48.92
3/29/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,101.48,86.44,87.58,61.26,101.49,64.34,9,21.03
3/30/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,284.24,114.38,115.27,140.57,101.86,149.21,37.7,22.11
3/31/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,152.12,121.01,116.71,65.84,106.6,72.97,61.8,64.69
1/2/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,36.88,46.55,46.98,37.88,100.1,37.86,298.22,7.32
1/3/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,53.5,122.82,127.56,20.91,98.25,20.65,536.53,324.62
1/4/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,97.11,121.14,125.36,33.69,98.79,33.34,348.03,53.08
1/5/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,63.26,132.59,137.26,22.26,98.48,22.03,48.41,112.3
1/6/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,63.41,127.1,129.57,23.05,99.49,22.88,34.45,60.54
1/7/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,56.38,79.02,82.42,30.93,97.61,30.29,37.7,19.68
1/8/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,33.53,45.27,44.92,33.62,102.67,34.64,67.27,55.67
1/9/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,63.16,100.06,104.33,29.06,97.58,28.43,612.87,292.91
1/10/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,48.86,116.34,116.66,19.84,101.41,20.17,58.13,85.04
1/11/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,55.98,123.49,123.46,20.55,101.6,20.93,76.05,37.27
1/12/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,58.62,125.05,128.47,23.21,98.72,22.92,-17.22,37.49
1/13/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,58.58,127.17,130.17,21.71,99.21,21.52,153.1,107.55
1/14/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,54.44,85.74,83.88,27.6,103.99,28.73,8.02,-2.73
1/15/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,24.07,67.5,65.79,15.4,104.43,16.13,-37.5,16.24
1/16/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,57.39,108.53,111.67,25.14,98.37,24.75,382.07,253.52
1/17/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,68.89,136.51,139.23,22.91,99.41,22.77,188.52,145.01
1/18/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,59.71,124.55,128.45,22.88,99.12,22.81,130.97,131.66
1/19/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,97.31,135.6,141.25,31.61,97.74,30.99,179.65,99.55
1/20/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,95.37,166.66,170.14,26.31,99.5,26.2,271.23,180.41
1/21/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,73.31,96.62,96.86,34.16,101.62,34.84,32.4,4.81
1/22/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,29.43,61.21,60.3,22.83,102.83,23.27,-32.05,0.72
1/23/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,46.75,114.67,117.83,20.18,99.65,20.23,296.82,224.02
1/24/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,62.61,136.33,140.54,22.63,98.45,22.28,102.39,87.68
1/25/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,80.1,144.53,151.11,24.75,97.54,24.25,104.74,83.55
1/26/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,71.33,149,152.9,25,99.11,24.82,198.7,86.12
1/27/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,58.71,120.92,120.96,23.05,101.29,23.29,59.89,55.79
1/28/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,63.55,85.51,84,32.94,103.5,34.02,17.99,18.88
1/29/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,44.06,56.41,56.29,37.39,101.66,38.01,2.55,9.91
1/30/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,48.79,114.41,115.38,21.13,100.11,21.1,194.33,180.45
1/31/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,54.45,63.78,66.57,36.82,97.54,36.01,115.09,7.71
2/1/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,66.72,126.24,130.99,24.91,97.89,24.43,77.64,88.06
2/2/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,60.88,124.9,127.19,22.14,100.1,22.24,36.14,98.86
2/3/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,283.11,204.09,203.61,59.91,102.04,61.32,1037.44,179.14
2/4/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,66.41,85.38,86.28,34.31,100.89,34.76,101.11,10.55
2/5/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,27.7,53.64,52.98,24.26,102.83,24.95,5.91,3.5
2/6/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,59.77,101.46,103.52,26.35,99.37,26.23,461.17,178.05
2/7/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,41.73,121.85,124.31,16.98,99.25,16.82,84.16,75.03
2/8/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,61.37,157.05,160.06,18.07,99.37,17.97,51.16,66.79
2/9/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,69.84,145.89,147.61,21.55,99.89,21.55,16.68,44.03
2/10/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,103.98,150.54,153.15,31.98,100.37,32.37,185.82,59.56
2/11/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,64.44,103.73,104.58,27.74,101.15,28.24,40.95,9.74
2/12/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,34.7,61.27,60.65,25.25,102.91,26.11,13.79,-14.87
2/13/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,51.23,119.34,121.67,20.44,100.37,20.61,198.54,224.5
2/14/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,80.76,145.35,148.57,26.67,98.97,26.33,97.87,79.39
2/15/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,74.02,167.23,171.65,22.44,99.45,22.44,72.68,120.37
2/16/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,92.63,155.36,158.01,27.92,99.64,27.83,61.77,69.81
2/17/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,92.19,150.49,150.02,28.93,101.9,29.51,87.93,63.48
2/18/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,79.96,95.93,96.77,36.9,101.16,37.5,66.78,27.1
2/19/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,41.38,57.9,58.26,33.6,101.15,34.09,-11.62,-15.14
2/20/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,28.99,51.37,51.49,26.23,101.24,26.35,35.73,24.08
2/21/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,58.23,122.65,126.23,22.91,98.9,22.72,229.33,180.3
2/22/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,73.31,153.18,156.02,23.93,100.24,24.1,49.95,70.48
2/23/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,44.79,113.29,116.84,20.01,98.61,19.78,11.53,16.75
2/24/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,89.63,121.53,126.21,34.29,97.96,33.68,184.81,27.52
2/25/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,62.62,89.92,90.56,30.83,101.12,31.28,11.67,-5.46
2/26/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,37.78,54.72,53.98,31.54,102.93,32.15,-16.9,-15.41
2/27/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,83.83,148.66,152.4,26.44,98.91,26.18,404.82,299.99
2/28/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,88.7,159.51,161.35,25.77,100.86,26.1,317.51,100.55
3/1/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,106.08,158.73,162.65,29.51,99.04,29.28,212.21,69.13
3/2/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,104.52,158.47,162.47,29.3,99.26,29.17,178.65,73.98
3/3/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,116.6,191.2,198.61,26.34,98,25.89,212.22,131.7
3/4/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,69.75,89.01,85.71,34.6,105.58,36.35,63.25,-3.2
3/5/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,37.93,51.41,51.81,34.21,101.52,34.99,6.52,-18.62
3/6/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,50.75,114.04,117.19,21.95,98.66,21.68,196.44,178.35
3/7/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,55.21,120.55,122.82,21.78,99.42,21.65,134.86,54.08
3/8/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,83.33,145.39,146.31,25.86,101.13,26.23,110.2,48.06
3/9/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,102.21,146,147.2,33.31,100.5,33.53,59.8,18.68
3/10/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,78.88,134.11,135.46,26.28,100.61,26.49,46.79,17.5
3/11/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,76.76,92.84,91.05,37.43,103.53,38.55,50.87,-0.83
3/12/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,43.62,66.2,65.29,32.44,102.46,33.09,61.15,3.79
3/13/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,84.89,138.13,139.55,27.31,99.96,27.35,188.69,166.19
3/14/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,90.75,154.99,152.72,27.49,102.63,28.16,133.82,61.61
3/15/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,105.66,173.86,178.75,28.52,98.76,28.22,73.44,49.89
3/16/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,72.47,140.68,145.35,24.88,98.41,24.51,-0.91,16.21
3/17/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,85.47,165.3,164.1,25.12,101.9,25.27,47.11,41.67
3/18/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,89.52,114.6,116.8,34.45,99.99,34.61,178.34,-19.49
3/19/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,46.87,64.62,65.68,33.14,101.41,33.86,-1.94,-23.83
3/20/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,59.32,106.15,108.37,28.42,99.38,28.23,264.23,162.42
3/21/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,66.25,143.94,148.02,22.04,98.78,21.81,177.49,46.2
3/22/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,93.51,156.5,161.99,27.19,99.12,27.1,36.34,49.29
3/23/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,78.12,131.75,136.6,26.82,98.26,26.45,-2.65,26.45
3/24/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,77.41,149.87,153.82,25.62,98.96,25.34,98.7,242.47
3/25/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,71.17,95,96.2,32.23,100.53,32.47,17.57,-16.89
3/26/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,46.61,64.15,65.7,33.3,99.57,33.39,16.51,17.88
3/27/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,73.97,127.17,131.18,29.55,98.25,29.02,202.91,219.83
3/28/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,78.58,127.9,129.8,29.93,100.19,30.05,120.44,24.81
3/29/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,90.22,166.53,169.45,25.2,99.38,25.06,89.89,65.09
3/30/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,83.14,140.55,144.54,27.24,99,27.05,40.06,31.42
3/31/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 10,91.09,142.88,148.69,29.35,97.82,28.8,65.82,10.39
1/1/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 11,78.22,77.59,71.98,43.16,108.43,46.98,344.91,350.84
1/2/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 11,51.17,46.24,47.57,51.62,98.76,51.12,None,None
1/3/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 11,56.65,113.72,118.07,22.77,97.99,22.38,381.13,685.07
1/4/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 11,92.65,129.92,130.44,31.45,101.72,32.21,459.48,455.69
1/5/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 11,85.88,137.97,141.26,27.1,99.57,27.06,165.72,408.13
1/6/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 11,99.21,150.18,154.39,29.55,98.52,29.18,229.66,387.81
1/7/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 11,102.46,127.28,130.31,36.61,100.63,37.12,53.04,251.32
1/8/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 11,60.32,66.96,63.93,40.18,107.61,43.62,72.79,136.17
1/9/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 11,93.34,103.62,106.38,35.07,98.81,34.79,948.41,843.4
1/10/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 11,50.94,118.62,121.6,19.31,99.61,19.34,212.22,230.66
1/11/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 11,88.05,152.26,152.21,25.19,101.87,25.78,86.9,267.96
1/12/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 11,60.12,125.58,130.61,22.71,97.76,22.26,50.37,135.5
1/13/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 11,100.9,159.05,163.99,27.79,98.88,27.55,240.02,236.13
